m_nom,m_ville,m_nbEtoiles,m_prixUnitaire,m_devise
Paris Dîner-croisière sur la Seine by Bateaux Mouches,Paris,3435,184,CDN
Visite guidée pour voir les chefs-d'œuvre du musée du Louvre,Paris,9409,107,CDN
Visite guidée à Versailles et accès prioritaire avec transfert depuis l'hôtel au départ de Paris,Paris,3375,86,CDN
Visite du Musée Calouste-Gulbenkian,Lisbonne,8677,10,EURO
Excursion d'une journée à Tolède (de Madrid),Madrid,2078,38,CDN
Croisière sur la Seine,Paris,1991,25,EURO
Visite du Château de Lisbonne,Lisbonne,3092,29,EURO
Balade à vélo dans Madrid,Madrid,4958,37,EURO
Visite guidée du Colisée,Rome,2553,131,EURO
Tour historique de Berlin,Berlin,4767,106,EURO
Tour en bateau à Nice,Nice,2084,96,EURO
Visite du palais de Porto,Porto,2652,105,EURO
Promenade dans les Jardins de Turia,Valence,1348,114,EURO
Visite de la cathédrale de Milan,Milan,4879,27,EURO
Balade en vélo à Amsterdam,Amsterdam,3292,63,EURO